DATE,QBPBSTAS
2000-04-01,7163614.418
2000-07-01,7269388.01
2000-10-01,7462898.054
2001-01-01,7572689.271
2001-04-01,7635923.679
2001-07-01,7844175.799
2001-10-01,7867077.283
2002-01-01,7822741.802
2002-04-01,8039006.629
2002-07-01,8272829.759
2002-10-01,8435858.213
2003-01-01,8605069.454
2003-04-01,8923262.177
2003-07-01,8943134.245
2003-10-01,9075653.324
2004-01-01,9377238.799
2004-04-01,9648544.817
2004-07-01,9877215.472
2004-10-01,10107378.707
2005-01-01,10286409.862
2005-04-01,10474368.258
2005-07-01,10700704.372
2005-10-01,10879266.653
2006-01-01,11209759.506
2006-04-01,11526114.005
2006-07-01,11754158.247
2006-10-01,11861854.572
2007-01-01,11982319.595
2007-04-01,12261392.259
2007-07-01,12706149.708
2007-10-01,13033934.371
2008-01-01,13369322.096
2008-04-01,13300429.887
2008-07-01,13545965.481
2008-10-01,13817670.936
2009-01-01,13526158.167
2009-04-01,13279679.333
2009-07-01,13226016.909
2009-10-01,13086777.689
2010-01-01,13336004.267
2010-04-01,13199507.433
2010-07-01,13372707.514
2010-10-01,13318922.958
2011-01-01,13414246.871
2011-04-01,13601986.529
2011-07-01,13811890.222
2011-10-01,13891344.756
2012-01-01,13925410.73
2012-04-01,14030842.983
2012-07-01,14222854.708
2012-10-01,14450403.761
2013-01-01,14423791.848
2013-04-01,14409751.242
2013-07-01,14603604.365
2013-10-01,14730790.515
2014-01-01,14909898.824
2014-04-01,15171911.352
2014-07-01,15348740.218
2014-10-01,15553728.396
2015-01-01,15777971.708
2015-04-01,15753630.867
2015-07-01,15800092.047
2015-10-01,15967662.111
2016-01-01,16293275.899
2016-04-01,16533969.432
2016-07-01,16766622.237
2016-10-01,16779681.324
2017-01-01,16965580.738
2017-04-01,17069493.576
2017-07-01,17242501.094
2017-10-01,17415409.638
2018-01-01,17530252.166
2018-04-01,17532878.34
2018-07-01,17672831.76
2018-10-01,17942991.682
2019-01-01,18089968.034
2019-04-01,18265869.305
2019-07-01,18481913.859
2019-10-01,18645727.167
2020-01-01,20255186.617
2020-04-01,21139329.405
2020-07-01,21209354.435
2020-10-01,21868751.441
2021-01-01,22546901.558
2021-04-01,22774408.187
2021-07-01,23251911.728
2021-10-01,23719748.629
2022-01-01,23973282.493
2022-04-01,23717888.836
2022-07-01,23630724.634
2022-10-01,23598450.344
2023-01-01,23719448.483
2023-04-01,23465010.149
2023-07-01,23408839.466
